rDate,Month,Year,Weekday,Time,Time-Day,Morning,Afternoon,Night,Sender,clean_msg,emoji,word_count_group,Sentiment_Polarity,Sentiment_Label,Emosent_Polarity,Emosent_Label,is_msg,is_emoji
2023-01-01,1,2023,Sunday,00:03:00,Night,0,0,1,Jose,feliz año europa ,🍾🍾🍾🍾🍾🍾🍾🍾🍾🍾,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:04:00,Night,0,0,1,Quiroga,feliz año gente ,❣,short msg,5,Positive,1.0,Positive,msg,emoji
2023-01-01,1,2023,Sunday,00:04:00,Night,0,0,1,Jose,el resto del mundo que esperen ,🥱🥱🤣🤣🤣,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:04:00,Night,0,0,1,Jose,feliz año ramiro carajo,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:04:00,Night,0,0,1,Jose,_,🍾🍾🍾🍾🍾,short msg,3,Neutral,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:05:00,Night,0,0,1,Barde,feliz para todos,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:05:00,Night,0,0,1,Jose,vamos santi carajo,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:06:00,Night,0,0,1,Barde,abrazo grande jose,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:06:00,Night,0,0,1,Jose,otra para vos santi,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:06:00,Night,0,0,1,Barde,abrazo grande rami,_,short msg,3,Neutral,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:06:00,Night,0,0,1,Barde,abrazo grande juancito,_,short msg,3,Neutral,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:06:00,Night,0,0,1,Barde,abrazo grande martin,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:08:00,Night,0,0,1,Jose,_,⚽⚽💪💪🏆🏆🏆,short msg,3,Neutral,0.6383333333333333,Positive,msg,emoji
2023-01-01,1,2023,Sunday,00:08:00,Night,0,0,1,Charlie,felicidades desde mdq,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:08:00,Night,0,0,1,Jose,vamos campeones del mundo carajo y tbn despedimos a otro crack que en paz descanse el rey pele,_,regular msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,00:09:00,Night,0,0,1,Fede,_,🪄🪄🪄,short msg,3,Neutral,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,01:57:00,Night,0,0,1,Fede,que este nos encuentre celebrando campeonatos mientras las gallinas siguen celebrando partidos feliz año ,💙💛💙,regular msg,5,Positive,0.7224999999999999,Positive,msg,emoji
2023-01-01,1,2023,Sunday,02:01:00,Night,0,0,1,Matias,se acuerdan de haydee,_,short msg,1,Negative,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,02:03:00,Night,0,0,1,Matias,les manda saludos a todos,_,short msg,5,Positive,0.0,Neutral,msg,emoji
2023-01-01,1,2023,Sunday,02:21:00,Night,0,0,1,Juan,impecableee haydee,_,short msg,5,Positive,0.0,Neutral,msg,emoji
